,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
97,Mon Dec 25 09:13:52 +0000 2023,1739212854375649646,"Bismillah  Alhamdulillah 🤲 Deklarasi Dan Pernyataan Sikap Masyarakat Sukabumi - Jawa Barat siap istiqomah Satu Komando IBHRS dan Ijtima Ulama siap mengawal dan menangkan pasangan AMIN Anies Baswedan - Muhaimin Iskandar.  #AminPalingSiapUntukIndonesia  Menang 1 kali Putaran, 🤲 https://t.co/sIegMzwhlG",1,0,6,22,in,1651123026203901952,1739212854375649646,NinzExe07,https://twitter.com/NinzExe07/status/1739212854375649646
98,Mon Dec 25 09:11:25 +0000 2023,1739212239046144497,"Debat Perdana Cawapres 2024 baru saja selesai digelar. Dalam penyampaian visi misi mereka, cawapres nomor urut 1 Muhaimin Iskandar (@cakimiNOW) menyebutkan akan menurunkan pajak untuk kalangan kelas menengah. Cawapres nomor urut 2, Gibran Rakabuming Raka (@gibran_tweet)… https://t.co/ufgUlJ8sCQ",0,1,2,2,in,57261519,1739212239046144497,Metro_TV,https://twitter.com/Metro_TV/status/1739212239046144497
99,Tue Dec 26 14:32:33 +0000 2023,1739655444883537925,@RicKY_KCh Semoga no 2 sukses jadi presiden RI di survey..aamiin...  Bismillah... AMIN..Anies-Muhaimin presiden RI 2024 - 2029. Aamiin... #presidenRI,0,0,0,0,in,1451573640135208960,1739507316289089673,ado_ono,https://twitter.com/ado_ono/status/1739655444883537925
100,Mon Dec 25 09:10:59 +0000 2023,1739212128853344688,Ini dia kita sambut GUS MIN IMIN KANG SULAP KOTA😂😂 #anies #aniesbaswedan #pemilu #pemilu2024 #fyp #pembohong #jagomulut #80T  #cakimin #amin #muhaimin #muhaimin #mahfudmd ##mahfud #debatcawapres #IKN #bingung #40kota #potongtumpeng #tumpeng #fyp #lucu #40kotaikn #gibran https://t.co/4pg4fiA73D,0,0,0,0,in,1722679870755586048,1739212128853344688,tembakauhidup,https://twitter.com/tembakauhidup/status/1739212128853344688
101,Tue Dec 26 14:29:43 +0000 2023,1739654729087774888,@tempodotco Aku sih dukung Pak Muhaimin untuk mengevaluasi pembangunan IKN ini,0,0,0,0,in,1711380333806186496,1739221198196924652,yudayudi934876,https://twitter.com/yudayudi934876/status/1739654729087774888
102,Mon Dec 25 09:10:46 +0000 2023,1739212075195678943,Minn minn ludahnya ditelen dulu itu sekarang karna duetnya beda jadi ga dukung ikn lagi kan? Ga tumpengan lagi? 🤭😂 #pemilu2024 #fyp #prabowo #pembohong #jagomulut #80T  #cakimin #muhaimin #mahfud #debatcawapres #IKN #bingung #40kota #potongtumpeng #tumpeng #fyp #lucu #gibran https://t.co/4Paze8yW8s,0,0,0,0,in,1722679870755586048,1739212075195678943,tembakauhidup,https://twitter.com/tembakauhidup/status/1739212075195678943
103,Tue Dec 26 14:28:46 +0000 2023,1739654489215508619,@tempodotco Pak Muhaimin tahu mana yg terbaik apakah diteruskan atau di evaluasi karna udh bertahun2 juga ..,0,0,0,0,in,1713433860778921984,1739221198196924652,TariNunu18390,https://twitter.com/TariNunu18390/status/1739654489215508619
104,Tue Dec 26 14:27:28 +0000 2023,1739654163343212946,@tempodotco Alasannya masuk akal dan emang wajib di evaluasi ... setuju dengan pak Muhaimin sih,0,0,0,0,in,1723657628918943744,1739221198196924652,yunitauni280,https://twitter.com/yunitauni280/status/1739654163343212946
105,Mon Dec 25 09:10:32 +0000 2023,1739212014994723143,Ternyata selama ini belimbing sayurnya si duo (imin n mahpud)bocah pah poh🤣🤣 #aniesbaswedan #pemilu #pemilu2024 #debatcapres #fyp #presiden #prabowo #pembohong #jagomulut #80T  #cakimin #amin #muhaimin #muhaimin #mahfudmd #mahfud #debatcawapres #IKN #bingung #40kota #gibran https://t.co/UdcsxU2Sry,0,0,0,0,in,1722679870755586048,1739212014994723143,tembakauhidup,https://twitter.com/tembakauhidup/status/1739212014994723143
106,Mon Dec 25 09:08:24 +0000 2023,1739211479939973343,Rezim penjagal demokrasi.  Cc seluruh rakyat Indonesia. Cc @KPU_ID  CC @Bawaslu_RI  Terjadi Lagi! Panitia Diskusi Bersama Anies-Muhaimin Mengaku 'Dipersulit' Saat Ajukan Izin  https://t.co/2Vez77vnyL  #RakyatMarahKPUCurang   #RakyatMarahKPUCurang,0,0,5,3,in,1373967328979787779,1739211479939973343,bianca01403,https://twitter.com/bianca01403/status/1739211479939973343
